epoch,loss,my_metric,val_loss,val_my_metric
0,0.08946187136062002,20.445179498854746,0.042408274186042295,14.635655785947991
1,0.0330875068879158,12.58989610333685,0.02740112940113207,11.046330849101041
2,0.024401131450067927,10.527214855536672,0.02430661422218062,10.50256864633679
3,0.019621726750527452,9.317838517039986,0.01811136128889863,8.708136354631112
4,0.016914680176919054,8.535593233385875,0.01611384606484732,8.164407105139553
5,0.014421955602271521,7.791340394384299,0.01404636475109052,7.46338341799206
6,0.012221880110689686,7.1043343966134485,0.012889929134523708,7.1160482822343845
7,0.010741688126859458,6.654384924680442,0.012092986326877797,6.866724855643029
8,0.009596805593320911,6.279532245722545,0.010715683190864604,6.311353883258677
9,0.00850599914992787,5.90101426552187,0.009735827155044547,5.981952485431685
10,0.007556547127877201,5.5638151845447394,0.010110597683967455,6.1263579907757135
11,0.006770380134802917,5.2713652150857255,0.009015664480895651,5.775576156257783
12,0.005963896064295503,4.95822518121019,0.008435299418677334,5.446355528022276
13,0.005444804428978093,4.748561110424896,0.007990355600718112,5.287835968306515
14,0.00497245283683684,4.554164478976188,0.008281480068100998,5.478076335301068
15,0.004540030137311635,4.3704942094894905,0.007661174726813851,5.118847225222126
16,0.004039945952670477,4.112362819268094,0.00742877809912414,5.016158661548228
17,0.003637894529393303,3.9059978105954065,0.007395067869677554,4.976514123658777
18,0.0033678419246005245,3.7688479708497535,0.007315871427797041,4.945631278669846
19,0.0031032251021784595,3.6180103999351534,0.007254802645563593,4.931161994940178
20,0.002903186904993319,3.4981529593810596,0.006949988463622678,4.7645696734193415
21,0.0026859063522687216,3.362631973118476,0.006914954896231702,4.732406739953913
22,0.002517705734806673,3.245773547904946,0.006798469155375599,4.6447951617656935
23,0.0024154965193408217,3.1821167526171967,0.00674466753274931,4.639763500790277
24,0.0022312603615130305,3.0418075814190746,0.006614778168974507,4.554857321233557
